Treatment_Code,Treatment_Code_Number,Treatment_Description,Species_1,Species_2,Axenic_State,Plate_Well,Monoculture_v_Biculture,Plate,Well,Well.ID,Time_Treatment,Mean.RFU..Chl.a70.460.685.,Std.Dev.RFU..Chl.a70.460.685.,CV.RFU..Chl.a70.460.685.,Mean.RFU..Chl.a100.460.685.,Std.Dev.RFU..Chl.a100.460.685.,CV.RFU..Chl.a100.460.685.,Reading.Date.Time,Time
29C,29,Sc axenic invaded with Sa axenic,Sc,Sa,axenic,Upper_F3,Biculture,Upper,F3,SPL43,10.25_axenic_Sc,10,8.992,90.933,10,13.95,137.97,5/1/2018 10:15,10.25
31A,31,Sc axenic invaded with Mm axenic,Sc,Mm,axenic,Upper_D4,Biculture,Upper,D4,SPL28,10.25_axenic_Sc,5,2.315,47.361,5,3.48,68.089,5/1/2018 10:15,10.25
31B,31,Sc axenic invaded with Mm axenic,Sc,Mm,axenic,Lower_A7,Biculture,Lower,A7,SPL7,10.25_axenic_Sc,5,3.073,58.848,6,7.196,111.657,5/1/2018 10:50,10.25
31C,31,Sc axenic invaded with Mm axenic,Sc,Mm,axenic,Lower_B1,Biculture,Lower,B1,SPL9,10.25_axenic_Sc,16,9.658,58.731,17,16.285,97.062,5/1/2018 10:50,10.25
4A,4,Sc axenic Monoculture ,Sc,NA,axenic,Lower_A3,Monoculture,Lower,A3,SPL3,10.25_axenic_Sc,10,9.474,98.003,10,8.5,87.931,5/1/2018 10:50,10.25
4B,4,Sc axenic Monoculture ,Sc,NA,axenic,Upper_C2,Monoculture,Upper,C2,SPL18,10.25_axenic_Sc,11,10.794,95.237,11,8.121,75.346,5/1/2018 10:15,10.25
4C,4,Sc axenic Monoculture ,Sc,NA,axenic,Upper_E8,Monoculture,Upper,E8,SPL40,10.25_axenic_Sc,7,7.906,112.938,10,12.835,128.355,5/1/2018 10:15,10.25
28A,28,Sc xenic invaded with Cm xenic,Sc,Cm,xenic,Lower_B5,Biculture,Lower,B5,SPL13,10.25_xenic_Sc,6,3.779,68.015,7,6.837,102.561,5/1/2018 10:50,10.25
28B,28,Sc xenic invaded with Cm xenic,Sc,Cm,xenic,Upper_F2,Biculture,Upper,F2,SPL42,10.25_xenic_Sc,10,10.7,110.694,13,9.918,75.644,5/1/2018 10:15,10.25
28C,28,Sc xenic invaded with Cm xenic,Sc,Cm,xenic,Upper_A2,Biculture,Upper,A2,SPL2,10.25_xenic_Sc,8,10.05,131.085,9,9.825,104.028,5/1/2018 10:15,10.25
30A,30,Sc xenic invaded with Sa xenic,Sc,Sa,xenic,Upper_B2,Biculture,Upper,B2,SPL10,10.25_xenic_Sc,9,11.418,125.315,9,7.379,80.009,5/1/2018 10:15,10.25
30B,30,Sc xenic invaded with Sa xenic,Sc,Sa,xenic,Upper_F8,Biculture,Upper,F8,SPL48,10.25_xenic_Sc,9,10.252,115.339,8,5.852,70.228,5/1/2018 10:15,10.25
30C,30,Sc xenic invaded with Sa xenic,Sc,Sa,xenic,Lower_E3,Biculture,Lower,E3,SPL35,10.25_xenic_Sc,11,14.672,139.001,8,8.002,105.905,5/1/2018 10:50,10.25
32A,32,Sc xenic invaded with Mm xenic,Sc,Mm,xenic,Lower_C1,Biculture,Lower,C1,SPL17,10.25_xenic_Sc,18,16.163,91.49,12,16.112,135.525,5/1/2018 10:50,10.25
32B,32,Sc xenic invaded with Mm xenic,Sc,Mm,xenic,Lower_F1,Biculture,Lower,F1,SPL41,10.25_xenic_Sc,12,11.103,89.221,16,16.985,108.417,5/1/2018 10:50,10.25
32C,32,Sc xenic invaded with Mm xenic,Sc,Mm,xenic,Upper_D1,Biculture,Upper,D1,SPL25,10.25_xenic_Sc,13,11.073,84.455,15,14.19,95.307,5/1/2018 10:15,10.25
8A,8,Sc xenic Monoculture ,Sc,NA,xenic,Lower_E5,Monoculture,Lower,E5,SPL37,10.25_xenic_Sc,9,7.601,80.483,7,4.994,69.154,5/1/2018 10:50,10.25
8B,8,Sc xenic Monoculture ,Sc,NA,xenic,Lower_E1,Monoculture,Lower,E1,SPL33,10.25_xenic_Sc,16,13.004,81.845,11,15.447,139.023,5/1/2018 10:50,10.25
8C,8,Sc xenic Monoculture ,Sc,NA,xenic,Upper_A3,Monoculture,Upper,A3,SPL3,10.25_xenic_Sc,7,8.278,111.199,7,7.616,114.237,5/1/2018 10:15,10.25
11A,11,Cm axenic invaded with Mm axenic,Cm,Mm,axenic,Lower_B3,Biculture,Lower,B3,SPL11,18.96666667_axenic_Cm,18,9.307,51.386,15,9.247,61.644,5/1/2018 19:07,18.96666667
11B,11,Cm axenic invaded with Mm axenic,Cm,Mm,axenic,Lower_A6,Biculture,Lower,A6,SPL6,18.96666667_axenic_Cm,15,6.892,44.948,13,8.628,65.255,5/1/2018 19:07,18.96666667
11C,11,Cm axenic invaded with Mm axenic,Cm,Mm,axenic,Upper_C7,Biculture,Upper,C7,SPL23,18.96666667_axenic_Cm,14,12.41,86.579,19,10.349,54.154,5/1/2018 18:58,18.96666667
13A,13,Cm axenic invaded with Sc axenic,Cm,Sc,axenic,Lower_B2,Biculture,Lower,B2,SPL10,18.96666667_axenic_Cm,17,11.129,65.897,17,10.259,60.348,5/1/2018 19:07,18.96666667
13B,13,Cm axenic invaded with Sc axenic,Cm,Sc,axenic,Upper_D8,Biculture,Upper,D8,SPL32,18.96666667_axenic_Cm,23,6.66,29.099,17,9.975,58.676,5/1/2018 18:58,18.96666667
13C,13,Cm axenic invaded with Sc axenic,Cm,Sc,axenic,Lower_B4,Biculture,Lower,B4,SPL12,18.96666667_axenic_Cm,15,7.574,50.12,15,4.343,29.169,5/1/2018 19:07,18.96666667
1A,1,Cm axenic Monoculture ,Cm,NA,axenic,Upper_A1,Monoculture,Upper,A1,SPL1,18.96666667_axenic_Cm,19,5.988,31.335,23,9.158,40.009,5/1/2018 18:58,18.96666667
1C,1,Cm axenic Monoculture ,Cm,NA,axenic,Upper_B6,Monoculture,Upper,B6,SPL14,18.96666667_axenic_Cm,11,7.579,67.538,17,12.166,71.562,5/1/2018 18:58,18.96666667
9A,9,Cm axenic invaded with Sa axenic,Cm,Sa,axenic,Lower_D6,Biculture,Lower,D6,SPL30,18.96666667_axenic_Cm,19,8.408,44.776,22,11.358,51.626,5/1/2018 19:07,18.96666667
9B,9,Cm axenic invaded with Sa axenic,Cm,Sa,axenic,Upper_B1,Biculture,Upper,B1,SPL9,18.96666667_axenic_Cm,20,10.512,52.559,20,11.034,56.105,5/1/2018 18:58,18.96666667
9C,9,Cm axenic invaded with Sa axenic,Cm,Sa,axenic,Lower_C5,Biculture,Lower,C5,SPL21,18.96666667_axenic_Cm,15,9.962,66.416,14,9.165,63.943,5/1/2018 19:07,18.96666667
10A,10,Cm xenic invaded with Sa xenic,Cm,Sa,xenic,Lower_F8,Biculture,Lower,F8,SPL48,18.96666667_xenic_Cm,13,10.236,81.526,15,7.81,52.068,5/1/2018 19:07,18.96666667
10B,10,Cm xenic invaded with Sa xenic,Cm,Sa,xenic,Upper_A6,Biculture,Upper,A6,SPL6,18.96666667_xenic_Cm,9,8.786,95.27,15,13.684,91.226,5/1/2018 18:58,18.96666667
10C,10,Cm xenic invaded with Sa xenic,Cm,Sa,xenic,Upper_F7,Biculture,Upper,F7,SPL47,18.96666667_xenic_Cm,16,10.357,62.985,16,8.599,53.008,5/1/2018 18:58,18.96666667
12A,12,Cm xenic invaded with Mm xenic,Cm,Mm,xenic,Upper_D3,Biculture,Upper,D3,SPL27,18.96666667_xenic_Cm,15,5.831,38.028,15,7.196,46.591,5/1/2018 18:58,18.96666667
12B,12,Cm xenic invaded with Mm xenic,Cm,Mm,xenic,Lower_F4,Biculture,Lower,F4,SPL44,18.96666667_xenic_Cm,16,10.199,62.023,19,8.002,41.152,5/1/2018 19:07,18.96666667
12C,12,Cm xenic invaded with Mm xenic,Cm,Mm,xenic,Upper_B3,Biculture,Upper,B3,SPL11,18.96666667_xenic_Cm,16,4.126,26.527,7,4.391,58.979,5/1/2018 18:58,18.96666667
14A,14,Cm xenic invaded with Sc xenic,Cm,Sc,xenic,Upper_A8,Biculture,Upper,A8,SPL8,18.96666667_xenic_Cm,16,8.617,53.855,16,12.122,76.83,5/1/2018 18:58,18.96666667
14B,14,Cm xenic invaded with Sc xenic,Cm,Sc,xenic,Upper_C3,Biculture,Upper,C3,SPL19,18.96666667_xenic_Cm,7,7.297,104.247,8,7.661,93.177,5/1/2018 18:58,18.96666667
14C,14,Cm xenic invaded with Sc xenic,Cm,Sc,xenic,Lower_C2,Biculture,Lower,C2,SPL18,18.96666667_xenic_Cm,17,9.46,54.579,14,4.717,32.909,5/1/2018 19:07,18.96666667
5A,5,Cm xenic Monoculture ,Cm,NA,xenic,Upper_D7,Monoculture,Upper,D7,SPL31,18.96666667_xenic_Cm,10,7.474,75.58,13,10.1,77.688,5/1/2018 18:58,18.96666667
5B,5,Cm xenic Monoculture ,Cm,NA,xenic,Lower_D5,Monoculture,Lower,D5,SPL29,18.96666667_xenic_Cm,9,4.64,49.127,18,11.311,62.074,5/1/2018 19:07,18.96666667
5C,5,Cm xenic Monoculture ,Cm,NA,xenic,Lower_A5,Monoculture,Lower,A5,SPL5,18.96666667_xenic_Cm,15,4.833,31.985,9,8.323,88.129,5/1/2018 19:07,18.96666667
21A,21,Mm axenic invaded with Cm axenic,Mm,Cm,axenic,Upper_D6,Biculture,Upper,D6,SPL30,18.96666667_axenic_Mm,9,6.635,77.556,3,3.745,146.558,5/1/2018 18:58,18.96666667
21B,21,Mm axenic invaded with Cm axenic,Mm,Cm,axenic,Lower_A1,Biculture,Lower,A1,SPL1,18.96666667_axenic_Mm,12,11.163,93.894,11,10.477,99.26,5/1/2018 19:07,18.96666667
21C,21,Mm axenic invaded with Cm axenic,Mm,Cm,axenic,Upper_E3,Biculture,Upper,E3,SPL35,18.96666667_axenic_Mm,5,4.79,100.257,8,7.944,100.702,5/1/2018 18:58,18.96666667
23B,23,Mm axenic invaded with Sa axenic,Mm,Sa,axenic,Upper_B8,Biculture,Upper,B8,SPL16,18.96666667_axenic_Mm,8,4.899,61.237,5,6.119,117.176,5/1/2018 18:58,18.96666667
23C,23,Mm axenic invaded with Sa axenic,Mm,Sa,axenic,Lower_A4,Biculture,Lower,A4,SPL4,18.96666667_axenic_Mm,7,8.348,123.172,13,9.207,73.334,5/1/2018 19:07,18.96666667
25B,25,Mm axenic invaded with Sc axenic,Mm,Sc,axenic,Upper_E4,Biculture,Upper,E4,SPL36,18.96666667_axenic_Mm,7,6.103,91.549,7,5.27,70.797,5/1/2018 18:58,18.96666667
25C,25,Mm axenic invaded with Sc axenic,Mm,Sc,axenic,Lower_D1,Biculture,Lower,D1,SPL25,18.96666667_axenic_Mm,19,16.138,85.944,16,14.945,94.061,5/1/2018 19:07,18.96666667
3A,3,Mm axenic Monoculture ,Mm,NA,axenic,Lower_F2,Monoculture,Lower,F2,SPL42,18.96666667_axenic_Mm,11,9.61,88.259,7,8.322,118.881,5/1/2018 19:07,18.96666667
3B,3,Mm axenic Monoculture ,Mm,NA,axenic,Lower_E8,Monoculture,Lower,E8,SPL40,18.96666667_axenic_Mm,6,7.661,123.127,7,6.972,98.046,5/1/2018 19:07,18.96666667
3C,3,Mm axenic Monoculture ,Mm,NA,axenic,Upper_E6,Monoculture,Upper,E6,SPL38,18.96666667_axenic_Mm,10,9.034,89.346,8,5.681,75.194,5/1/2018 18:58,18.96666667
