Treatment_Code,Treatment_Code_Number,Treatment_Description,Species_1,Species_2,Axenic_State,Plate_Well,Monoculture_v_Biculture,Plate,Well,Well.ID,Time_Treatment,Mean.RFU..Chl.a70.460.685.,Std.Dev.RFU..Chl.a70.460.685.,CV.RFU..Chl.a70.460.685.,Mean.RFU..Chl.a100.460.685.,Std.Dev.RFU..Chl.a100.460.685.,CV.RFU..Chl.a100.460.685.,Reading.Date.Time,Time
27B,27,Sc axenic invaded with Cm axenic,Sc,Cm,axenic,Lower_A8,Biculture,Lower,A8,SPL8,34.4_axenic_Sc,12,8.647,74.833,13,8.944,68.802,5/2/2018 11:21,34.4
27C,27,Sc axenic invaded with Cm axenic,Sc,Cm,axenic,Upper_C1,Biculture,Upper,C1,SPL17,34.4_axenic_Sc,15,7.753,51.308,17,6.092,35.602,5/2/2018 10:24,34.4
29A,29,Sc axenic invaded with Sa axenic,Sc,Sa,axenic,Lower_D2,Biculture,Lower,D2,SPL26,34.4_axenic_Sc,26,4.764,18.167,28,8.228,29.62,5/2/2018 11:21,34.4
29B,29,Sc axenic invaded with Sa axenic,Sc,Sa,axenic,Upper_B4,Biculture,Upper,B4,SPL12,34.4_axenic_Sc,7,4.475,60.115,10,6.106,58.457,5/2/2018 10:24,34.4
29C,29,Sc axenic invaded with Sa axenic,Sc,Sa,axenic,Upper_F3,Biculture,Upper,F3,SPL43,34.4_axenic_Sc,13,10.618,79.638,11,6.846,61.61,5/2/2018 10:24,34.4
31A,31,Sc axenic invaded with Mm axenic,Sc,Mm,axenic,Upper_D4,Biculture,Upper,D4,SPL28,34.4_axenic_Sc,15,3.383,22.892,21,6.978,33.585,5/2/2018 10:24,34.4
31B,31,Sc axenic invaded with Mm axenic,Sc,Mm,axenic,Lower_A7,Biculture,Lower,A7,SPL7,34.4_axenic_Sc,15,10.58,71.597,11,9.93,91.197,5/2/2018 11:21,34.4
31C,31,Sc axenic invaded with Mm axenic,Sc,Mm,axenic,Lower_B1,Biculture,Lower,B1,SPL9,34.4_axenic_Sc,15,9.937,64.809,14,12.484,88.472,5/2/2018 11:21,34.4
4A,4,Sc axenic Monoculture ,Sc,NA,axenic,Lower_A3,Monoculture,Lower,A3,SPL3,34.4_axenic_Sc,13,7.316,58.271,11,9.649,86.845,5/2/2018 11:21,34.4
4B,4,Sc axenic Monoculture ,Sc,NA,axenic,Upper_C2,Monoculture,Upper,C2,SPL18,34.4_axenic_Sc,26,14.732,57.646,27,11.494,42.396,5/2/2018 10:24,34.4
4C,4,Sc axenic Monoculture ,Sc,NA,axenic,Upper_E8,Monoculture,Upper,E8,SPL40,34.4_axenic_Sc,25,9.474,37.396,31,13.37,42.669,5/2/2018 10:24,34.4
28A,28,Sc xenic invaded with Cm xenic,Sc,Cm,xenic,Lower_B5,Biculture,Lower,B5,SPL13,34.4_xenic_Sc,11,5.876,51.344,12,5.645,46.606,5/2/2018 11:21,34.4
28B,28,Sc xenic invaded with Cm xenic,Sc,Cm,xenic,Upper_F2,Biculture,Upper,F2,SPL42,34.4_xenic_Sc,35,10.772,31.172,30,14.04,46.973,5/2/2018 10:24,34.4
28C,28,Sc xenic invaded with Cm xenic,Sc,Cm,xenic,Upper_A2,Biculture,Upper,A2,SPL2,34.4_xenic_Sc,18,12.057,67.397,20,7.997,40.432,5/2/2018 10:24,34.4
30A,30,Sc xenic invaded with Sa xenic,Sc,Sa,xenic,Upper_B2,Biculture,Upper,B2,SPL10,34.4_xenic_Sc,19,9.708,52.008,17,5.585,33.289,5/2/2018 10:24,34.4
30B,30,Sc xenic invaded with Sa xenic,Sc,Sa,xenic,Upper_F8,Biculture,Upper,F8,SPL48,34.4_xenic_Sc,11,10.158,94.254,12,7.39,62.158,5/2/2018 10:24,34.4
30C,30,Sc xenic invaded with Sa xenic,Sc,Sa,xenic,Lower_E3,Biculture,Lower,E3,SPL35,34.4_xenic_Sc,15,9.811,66.891,9,6.827,74.933,5/2/2018 11:21,34.4
32A,32,Sc xenic invaded with Mm xenic,Sc,Mm,xenic,Lower_C1,Biculture,Lower,C1,SPL17,34.4_xenic_Sc,22,12.186,54.564,18,9.697,55.235,5/2/2018 11:21,34.4
32B,32,Sc xenic invaded with Mm xenic,Sc,Mm,xenic,Lower_F1,Biculture,Lower,F1,SPL41,34.4_xenic_Sc,13,10.654,79.902,15,12.534,82.948,5/2/2018 11:21,34.4
32C,32,Sc xenic invaded with Mm xenic,Sc,Mm,xenic,Upper_D1,Biculture,Upper,D1,SPL25,34.4_xenic_Sc,16,9.315,56.648,12,8.609,72.41,5/2/2018 10:24,34.4
8A,8,Sc xenic Monoculture ,Sc,NA,xenic,Lower_E5,Monoculture,Lower,E5,SPL37,34.4_xenic_Sc,15,6.864,46.1,14,9.682,70.847,5/2/2018 11:21,34.4
8B,8,Sc xenic Monoculture ,Sc,NA,xenic,Lower_E1,Monoculture,Lower,E1,SPL33,34.4_xenic_Sc,18,13.349,75.088,18,11.248,60.986,5/2/2018 11:21,34.4
8C,8,Sc xenic Monoculture ,Sc,NA,xenic,Upper_A3,Monoculture,Upper,A3,SPL3,34.4_xenic_Sc,16,10.392,64.952,12,10.897,88.356,5/2/2018 10:24,34.4
11A,11,Cm axenic invaded with Mm axenic,Cm,Mm,axenic,Lower_B3,Biculture,Lower,B3,SPL11,41.56666667_axenic_Cm,62,12.855,20.623,57,13.304,23.205,5/2/2018 18:39,41.56666667
11B,11,Cm axenic invaded with Mm axenic,Cm,Mm,axenic,Lower_A6,Biculture,Lower,A6,SPL6,41.56666667_axenic_Cm,55,8.829,15.987,57,8.529,14.964,5/2/2018 18:39,41.56666667
11C,11,Cm axenic invaded with Mm axenic,Cm,Mm,axenic,Upper_C7,Biculture,Upper,C7,SPL23,41.56666667_axenic_Cm,63,12.235,19.489,66,23.019,34.936,5/2/2018 17:34,41.56666667
13A,13,Cm axenic invaded with Sc axenic,Cm,Sc,axenic,Lower_B2,Biculture,Lower,B2,SPL10,41.56666667_axenic_Cm,58,10.285,17.869,55,5.798,10.562,5/2/2018 18:39,41.56666667
13B,13,Cm axenic invaded with Sc axenic,Cm,Sc,axenic,Upper_D8,Biculture,Upper,D8,SPL32,41.56666667_axenic_Cm,63,7.759,12.272,61,14.61,23.863,5/2/2018 17:34,41.56666667
13C,13,Cm axenic invaded with Sc axenic,Cm,Sc,axenic,Lower_B4,Biculture,Lower,B4,SPL12,41.56666667_axenic_Cm,60,12.959,21.679,57,11.133,19.608,5/2/2018 18:39,41.56666667
1A,1,Cm axenic Monoculture ,Cm,NA,axenic,Upper_A1,Monoculture,Upper,A1,SPL1,41.56666667_axenic_Cm,68,18.776,27.793,74,14.354,19.514,5/2/2018 17:34,41.56666667
1C,1,Cm axenic Monoculture ,Cm,NA,axenic,Upper_B6,Monoculture,Upper,B6,SPL14,41.56666667_axenic_Cm,57,12.578,21.98,65,16.016,24.639,5/2/2018 17:34,41.56666667
9A,9,Cm axenic invaded with Sa axenic,Cm,Sa,axenic,Lower_D6,Biculture,Lower,D6,SPL30,41.56666667_axenic_Cm,73,14.246,19.456,88,32.799,37.084,5/2/2018 18:39,41.56666667
9B,9,Cm axenic invaded with Sa axenic,Cm,Sa,axenic,Upper_B1,Biculture,Upper,B1,SPL9,41.56666667_axenic_Cm,63,14.142,22.448,63,9.901,15.606,5/2/2018 17:34,41.56666667
9C,9,Cm axenic invaded with Sa axenic,Cm,Sa,axenic,Lower_C5,Biculture,Lower,C5,SPL21,41.56666667_axenic_Cm,72,7.778,10.753,71,22.085,30.96,5/2/2018 18:39,41.56666667
10A,10,Cm xenic invaded with Sa xenic,Cm,Sa,xenic,Lower_F8,Biculture,Lower,F8,SPL48,41.56666667_xenic_Cm,63,11.853,18.716,65,15.479,23.774,5/2/2018 18:39,41.56666667
10B,10,Cm xenic invaded with Sa xenic,Cm,Sa,xenic,Upper_A6,Biculture,Upper,A6,SPL6,41.56666667_xenic_Cm,41,8.017,19.345,38,12.84,33.691,5/2/2018 17:34,41.56666667
10C,10,Cm xenic invaded with Sa xenic,Cm,Sa,xenic,Upper_F7,Biculture,Upper,F7,SPL47,41.56666667_xenic_Cm,49,14.283,28.952,48,12.504,25.991,5/2/2018 17:34,41.56666667
12A,12,Cm xenic invaded with Mm xenic,Cm,Mm,xenic,Upper_D3,Biculture,Upper,D3,SPL27,41.56666667_xenic_Cm,50,7.986,15.831,43,9.107,21.071,5/2/2018 17:34,41.56666667
12B,12,Cm xenic invaded with Mm xenic,Cm,Mm,xenic,Lower_F4,Biculture,Lower,F4,SPL44,41.56666667_xenic_Cm,57,11.016,19.365,57,11.084,19.408,5/2/2018 18:39,41.56666667
12C,12,Cm xenic invaded with Mm xenic,Cm,Mm,xenic,Upper_B3,Biculture,Upper,B3,SPL11,41.56666667_xenic_Cm,41,14.53,35.535,40,9.523,23.677,5/2/2018 17:34,41.56666667
14A,14,Cm xenic invaded with Sc xenic,Cm,Sc,xenic,Upper_A8,Biculture,Upper,A8,SPL8,41.56666667_xenic_Cm,34,8.652,25.531,40,5.362,13.405,5/2/2018 17:34,41.56666667
14B,14,Cm xenic invaded with Sc xenic,Cm,Sc,xenic,Upper_C3,Biculture,Upper,C3,SPL19,41.56666667_xenic_Cm,16,6.54,42.046,17,9.381,54.12,5/2/2018 17:34,41.56666667
14C,14,Cm xenic invaded with Sc xenic,Cm,Sc,xenic,Lower_C2,Biculture,Lower,C2,SPL18,41.56666667_xenic_Cm,51,8.662,16.837,51,10.63,20.708,5/2/2018 18:39,41.56666667
5A,5,Cm xenic Monoculture ,Cm,NA,xenic,Upper_D7,Monoculture,Upper,D7,SPL31,41.56666667_xenic_Cm,52,12.431,24.112,57,24.693,43.321,5/2/2018 17:34,41.56666667
5B,5,Cm xenic Monoculture ,Cm,NA,xenic,Lower_D5,Monoculture,Lower,D5,SPL29,41.56666667_xenic_Cm,54,8.832,16.255,65,20.189,31.114,5/2/2018 18:39,41.56666667
5C,5,Cm xenic Monoculture ,Cm,NA,xenic,Lower_A5,Monoculture,Lower,A5,SPL5,41.56666667_xenic_Cm,41,7.28,17.756,40,10.13,25.395,5/2/2018 18:39,41.56666667
21A,21,Mm axenic invaded with Cm axenic,Mm,Cm,axenic,Upper_D6,Biculture,Upper,D6,SPL30,41.56666667_axenic_Mm,26,7.236,27.713,21,9,43.548,5/2/2018 17:34,41.56666667
21B,21,Mm axenic invaded with Cm axenic,Mm,Cm,axenic,Lower_A1,Biculture,Lower,A1,SPL1,41.56666667_axenic_Mm,23,9.887,42.372,22,9.327,41.764,5/2/2018 18:39,41.56666667
21C,21,Mm axenic invaded with Cm axenic,Mm,Cm,axenic,Upper_E3,Biculture,Upper,E3,SPL35,41.56666667_axenic_Mm,8,8.885,108.062,8,3.983,49.101,5/2/2018 17:34,41.56666667
23B,23,Mm axenic invaded with Sa axenic,Mm,Sa,axenic,Upper_B8,Biculture,Upper,B8,SPL16,41.56666667_axenic_Mm,13,8.223,63.796,18,5.403,30.393,5/2/2018 17:34,41.56666667
23C,23,Mm axenic invaded with Sa axenic,Mm,Sa,axenic,Lower_A4,Biculture,Lower,A4,SPL4,41.56666667_axenic_Mm,17,6.037,35.982,20,7.953,39.765,5/2/2018 18:39,41.56666667
25B,25,Mm axenic invaded with Sc axenic,Mm,Sc,axenic,Upper_E4,Biculture,Upper,E4,SPL36,41.56666667_axenic_Mm,10,6.405,61.327,18,11.024,62.795,5/2/2018 17:34,41.56666667
25C,25,Mm axenic invaded with Sc axenic,Mm,Sc,axenic,Lower_D1,Biculture,Lower,D1,SPL25,41.56666667_axenic_Mm,12,12.969,106.11,17,10.787,63.041,5/2/2018 18:39,41.56666667
3A,3,Mm axenic Monoculture ,Mm,NA,axenic,Lower_F2,Monoculture,Lower,F2,SPL42,41.56666667_axenic_Mm,21,15.595,73.483,18,13.248,74.987,5/2/2018 18:39,41.56666667
3B,3,Mm axenic Monoculture ,Mm,NA,axenic,Lower_E8,Monoculture,Lower,E8,SPL40,41.56666667_axenic_Mm,21,9.735,47.361,19,7.026,36.763,5/2/2018 18:39,41.56666667
3C,3,Mm axenic Monoculture ,Mm,NA,axenic,Upper_E6,Monoculture,Upper,E6,SPL38,41.56666667_axenic_Mm,17,6.399,37.154,18,5.199,29.614,5/2/2018 17:34,41.56666667
22A,22,Mm xenic invaded with Cm xenic,Mm,Cm,xenic,Lower_F5,Biculture,Lower,F5,SPL45,41.56666667_xenic_Mm,13,9.404,71.126,12,8.136,69.079,5/2/2018 18:39,41.56666667
22B,22,Mm xenic invaded with Cm xenic,Mm,Cm,xenic,Upper_E1,Biculture,Upper,E1,SPL33,41.56666667_xenic_Mm,14,11.784,83.508,10,6.623,65.5,5/2/2018 17:34,41.56666667
22C,22,Mm xenic invaded with Cm xenic,Mm,Cm,xenic,Upper_B5,Biculture,Upper,B5,SPL13,41.56666667_xenic_Mm,52,10.084,19.476,50,5.754,11.483,5/2/2018 17:34,41.56666667
24A,24,Mm xenic invaded with Sa xenic,Mm,Sa,xenic,Upper_C4,Biculture,Upper,C4,SPL20,41.56666667_xenic_Mm,13,7.457,56.878,16,10.537,67.738,5/2/2018 17:34,41.56666667
24B,24,Mm xenic invaded with Sa xenic,Mm,Sa,xenic,Lower_E2,Biculture,Lower,E2,SPL34,41.56666667_xenic_Mm,13,11.214,86.26,17,12.614,74.688,5/2/2018 18:39,41.56666667
24C,24,Mm xenic invaded with Sa xenic,Mm,Sa,xenic,Lower_B6,Biculture,Lower,B6,SPL14,41.56666667_xenic_Mm,7,7.937,108.235,10,5.981,57.269,5/2/2018 18:39,41.56666667
26A,26,Mm xenic invaded with Sc xenic,Mm,Sc,xenic,Lower_B8,Biculture,Lower,B8,SPL16,41.56666667_xenic_Mm,7,5.533,77.804,9,5.247,61.325,5/2/2018 18:39,41.56666667
26B,26,Mm xenic invaded with Sc xenic,Mm,Sc,xenic,Upper_D2,Biculture,Upper,D2,SPL26,41.56666667_xenic_Mm,21,9.618,45.799,19,7.362,39.204,5/2/2018 17:34,41.56666667
26C,26,Mm xenic invaded with Sc xenic,Mm,Sc,xenic,Upper_F1,Biculture,Upper,F1,SPL41,41.56666667_xenic_Mm,16,12.875,82.771,16,11.576,73.888,5/2/2018 17:34,41.56666667
7A,7,Mm xenic Monoculture ,Mm,NA,xenic,Upper_A7,Monoculture,Upper,A7,SPL7,41.56666667_xenic_Mm,18,7.014,39.453,19,9.811,51.635,5/2/2018 17:34,41.56666667
7B,7,Mm xenic Monoculture ,Mm,NA,xenic,Lower_A2,Monoculture,Lower,A2,SPL2,41.56666667_xenic_Mm,19,4.994,25.983,20,10.588,52.649,5/2/2018 18:39,41.56666667
7C,7,Mm xenic Monoculture ,Mm,NA,xenic,Upper_F5,Monoculture,Upper,F5,SPL45,41.56666667_xenic_Mm,12,7.87,64.395,14,10.269,74.53,5/2/2018 17:34,41.56666667
15A,15,Sa axenic invaded with Cm axenic,Sa,Cm,axenic,Lower_C4,Biculture,Lower,C4,SPL20,41.56666667_axenic_Sa,17,7.833,45.779,25,8.715,35.171,5/2/2018 18:39,41.56666667
15B,15,Sa axenic invaded with Cm axenic,Sa,Cm,axenic,Lower_F6,Biculture,Lower,F6,SPL46,41.56666667_axenic_Sa,19,5.968,31.225,20,12.44,61.18,5/2/2018 18:39,41.56666667
15C,15,Sa axenic invaded with Cm axenic,Sa,Cm,axenic,Upper_D5,Biculture,Upper,D5,SPL29,41.56666667_axenic_Sa,42,15.254,36.513,48,18.432,38.136,5/2/2018 17:34,41.56666667
17A,17,Sa axenic invaded with Mm axenic,Sa,Mm,axenic,Upper_E2,Biculture,Upper,E2,SPL34,41.56666667_axenic_Sa,20,11.595,57.338,24,11.292,47.048,5/2/2018 17:34,41.56666667
17B,17,Sa axenic invaded with Mm axenic,Sa,Mm,axenic,Lower_C6,Biculture,Lower,C6,SPL22,41.56666667_axenic_Sa,102,5.123,5.039,104,9.854,9.486,5/2/2018 18:39,41.56666667
17C,17,Sa axenic invaded with Mm axenic,Sa,Mm,axenic,Lower_E7,Biculture,Lower,E7,SPL39,41.56666667_axenic_Sa,28,10.337,37.066,26,19.247,74.665,5/2/2018 18:39,41.56666667
19A,19,Sa axenic invaded with Sc axenic,Sa,Sc,axenic,Lower_D3,Biculture,Lower,D3,SPL27,41.56666667_axenic_Sa,22,13.141,60.343,23,10.643,45.398,5/2/2018 18:39,41.56666667
19B,19,Sa axenic invaded with Sc axenic,Sa,Sc,axenic,Lower_C8,Biculture,Lower,C8,SPL24,41.56666667_axenic_Sa,97,12.34,12.78,94,9.447,10.086,5/2/2018 18:39,41.56666667
19C,19,Sa axenic invaded with Sc axenic,Sa,Sc,axenic,Upper_C5,Biculture,Upper,C5,SPL21,41.56666667_axenic_Sa,30,12.669,42.23,37,39.211,104.719,5/2/2018 17:34,41.56666667
2A,2,Sa axenic Monoculture ,Sa,NA,axenic,Upper_B7,Monoculture,Upper,B7,SPL15,41.56666667_axenic_Sa,27,5.798,21.561,22,4.773,21.264,5/2/2018 17:34,41.56666667
2B,2,Sa axenic Monoculture ,Sa,NA,axenic,Upper_E7,Monoculture,Upper,E7,SPL39,41.56666667_axenic_Sa,37,16.363,43.83,35,21.201,61.158,5/2/2018 17:34,41.56666667
2C,2,Sa axenic Monoculture ,Sa,NA,axenic,Lower_F7,Monoculture,Lower,F7,SPL47,41.56666667_axenic_Sa,25,11.469,46.705,29,11.447,40.086,5/2/2018 18:39,41.56666667
16A,16,Sa xenic invaded with Cm xenic,Sa,Cm,xenic,Lower_E6,Biculture,Lower,E6,SPL38,41.56666667_xenic_Sa,36,8.012,22.119,37,11.8,31.893,5/2/2018 18:39,41.56666667
16B,16,Sa xenic invaded with Cm xenic,Sa,Cm,xenic,Upper_A4,Biculture,Upper,A4,SPL4,41.56666667_xenic_Sa,31,6.144,20.035,33,11.126,34.174,5/2/2018 17:34,41.56666667
16C,16,Sa xenic invaded with Cm xenic,Sa,Cm,xenic,Lower_E4,Biculture,Lower,E4,SPL36,41.56666667_xenic_Sa,44,11.624,26.351,43,31.093,71.57,5/2/2018 18:39,41.56666667
18A,18,Sa xenic invaded with Mm xenic,Sa,Mm,xenic,Lower_B7,Biculture,Lower,B7,SPL15,41.56666667_xenic_Sa,46,11.341,24.713,41,9.474,23.106,5/2/2018 18:39,41.56666667
18B,18,Sa xenic invaded with Mm xenic,Sa,Mm,xenic,Upper_C8,Biculture,Upper,C8,SPL24,41.56666667_xenic_Sa,56,13.358,23.949,51,16.277,31.777,5/2/2018 17:34,41.56666667
18C,18,Sa xenic invaded with Mm xenic,Sa,Mm,xenic,Lower_D8,Biculture,Lower,D8,SPL32,41.56666667_xenic_Sa,49,13.636,27.956,45,14.995,33.241,5/2/2018 18:39,41.56666667
20A,20,Sa xenic invaded with Sc xenic,Sa,Sc,xenic,Upper_F6,Biculture,Upper,F6,SPL46,41.56666667_xenic_Sa,58,23.606,40.936,61,24.956,41.211,5/2/2018 17:34,41.56666667
20B,20,Sa xenic invaded with Sc xenic,Sa,Sc,xenic,Lower_C7,Biculture,Lower,C7,SPL23,41.56666667_xenic_Sa,39,9.165,23.703,34,14.491,43.044,5/2/2018 18:39,41.56666667
20C,20,Sa xenic invaded with Sc xenic,Sa,Sc,xenic,Lower_D4,Biculture,Lower,D4,SPL28,41.56666667_xenic_Sa,52,12.94,24.991,50,30.265,60.13,5/2/2018 18:39,41.56666667
6A,6,Sa xenic Monoculture ,Sa,NA,xenic,Lower_D7,Monoculture,Lower,D7,SPL31,41.56666667_xenic_Sa,36,16.101,45.144,37,17.219,46.123,5/2/2018 18:39,41.56666667
6B,6,Sa xenic Monoculture ,Sa,NA,xenic,Upper_E5,Monoculture,Upper,E5,SPL37,41.56666667_xenic_Sa,74,29.96,40.548,75,28.258,37.51,5/2/2018 17:34,41.56666667
6C,6,Sa xenic Monoculture ,Sa,NA,xenic,Lower_C3,Monoculture,Lower,C3,SPL19,41.56666667_xenic_Sa,58,23.109,39.54,55,25.55,46.081,5/2/2018 18:39,41.56666667
27A,27,Sc axenic invaded with Cm axenic,Sc,Cm,axenic,Upper_F4,Biculture,Upper,F4,SPL44,41.56666667_axenic_Sc,19,9.431,50.224,23,11.552,50.715,5/2/2018 17:34,41.56666667
27B,27,Sc axenic invaded with Cm axenic,Sc,Cm,axenic,Lower_A8,Biculture,Lower,A8,SPL8,41.56666667_axenic_Sc,25,9.937,40.286,21,7.583,36.109,5/2/2018 18:39,41.56666667
27C,27,Sc axenic invaded with Cm axenic,Sc,Cm,axenic,Upper_C1,Biculture,Upper,C1,SPL17,41.56666667_axenic_Sc,28,11.23,40.267,29,10.247,35.745,5/2/2018 17:34,41.56666667
29A,29,Sc axenic invaded with Sa axenic,Sc,Sa,axenic,Lower_D2,Biculture,Lower,D2,SPL26,41.56666667_axenic_Sc,26,7.141,27.119,16,4.807,30.256,5/2/2018 18:39,41.56666667
29B,29,Sc axenic invaded with Sa axenic,Sc,Sa,axenic,Upper_B4,Biculture,Upper,B4,SPL12,41.56666667_axenic_Sc,16,7.401,45.007,15,7.937,52.915,5/2/2018 17:34,41.56666667
29C,29,Sc axenic invaded with Sa axenic,Sc,Sa,axenic,Upper_F3,Biculture,Upper,F3,SPL43,41.56666667_axenic_Sc,18,8.246,44.979,26,12.191,47.088,5/2/2018 17:34,41.56666667
31A,31,Sc axenic invaded with Mm axenic,Sc,Mm,axenic,Upper_D4,Biculture,Upper,D4,SPL28,41.56666667_axenic_Sc,22,6.566,29.695,27,8.617,31.914,5/2/2018 17:34,41.56666667
31B,31,Sc axenic invaded with Mm axenic,Sc,Mm,axenic,Lower_A7,Biculture,Lower,A7,SPL7,41.56666667_axenic_Sc,18,5.27,28.575,15,6.247,42.92,5/2/2018 18:39,41.56666667
31C,31,Sc axenic invaded with Mm axenic,Sc,Mm,axenic,Lower_B1,Biculture,Lower,B1,SPL9,41.56666667_axenic_Sc,29,10.05,34.655,29,10.043,34.499,5/2/2018 18:39,41.56666667
4A,4,Sc axenic Monoculture ,Sc,NA,axenic,Lower_A3,Monoculture,Lower,A3,SPL3,41.56666667_axenic_Sc,20,10.001,51.143,18,11.297,62.373,5/2/2018 18:39,41.56666667
4B,4,Sc axenic Monoculture ,Sc,NA,axenic,Upper_C2,Monoculture,Upper,C2,SPL18,41.56666667_axenic_Sc,30,12.05,40.465,28,5.711,20.476,5/2/2018 17:34,41.56666667
4C,4,Sc axenic Monoculture ,Sc,NA,axenic,Upper_E8,Monoculture,Upper,E8,SPL40,41.56666667_axenic_Sc,29,14.976,50.862,28,9.354,33.81,5/2/2018 17:34,41.56666667
28A,28,Sc xenic invaded with Cm xenic,Sc,Cm,xenic,Lower_B5,Biculture,Lower,B5,SPL13,41.56666667_xenic_Sc,27,10.301,38.31,20,6.882,34.602,5/2/2018 18:39,41.56666667
28B,28,Sc xenic invaded with Cm xenic,Sc,Cm,xenic,Upper_F2,Biculture,Upper,F2,SPL42,41.56666667_xenic_Sc,24,5.244,21.85,28,9.247,33.024,5/2/2018 17:34,41.56666667
28C,28,Sc xenic invaded with Cm xenic,Sc,Cm,xenic,Upper_A2,Biculture,Upper,A2,SPL2,41.56666667_xenic_Sc,21,6.515,31.355,21,2.819,13.565,5/2/2018 17:34,41.56666667
30A,30,Sc xenic invaded with Sa xenic,Sc,Sa,xenic,Upper_B2,Biculture,Upper,B2,SPL10,41.56666667_xenic_Sc,21,12.454,59.622,26,8.261,31.372,5/2/2018 17:34,41.56666667
30B,30,Sc xenic invaded with Sa xenic,Sc,Sa,xenic,Upper_F8,Biculture,Upper,F8,SPL48,41.56666667_xenic_Sc,12,12.47,103.916,15,6.698,44.324,5/2/2018 17:34,41.56666667
30C,30,Sc xenic invaded with Sa xenic,Sc,Sa,xenic,Lower_E3,Biculture,Lower,E3,SPL35,41.56666667_xenic_Sc,30,10.374,34.451,29,10.366,35.471,5/2/2018 18:39,41.56666667
32A,32,Sc xenic invaded with Mm xenic,Sc,Mm,xenic,Lower_C1,Biculture,Lower,C1,SPL17,41.56666667_xenic_Sc,29,7.764,26.368,32,8.383,26.566,5/2/2018 18:39,41.56666667
32B,32,Sc xenic invaded with Mm xenic,Sc,Mm,xenic,Lower_F1,Biculture,Lower,F1,SPL41,41.56666667_xenic_Sc,26,8.307,31.544,25,7.467,29.866,5/2/2018 18:39,41.56666667
32C,32,Sc xenic invaded with Mm xenic,Sc,Mm,xenic,Upper_D1,Biculture,Upper,D1,SPL25,41.56666667_xenic_Sc,29,10.733,36.728,30,15.268,50.705,5/2/2018 17:34,41.56666667
8A,8,Sc xenic Monoculture ,Sc,NA,xenic,Lower_E5,Monoculture,Lower,E5,SPL37,41.56666667_xenic_Sc,31,5.916,19.292,27,6.03,22.242,5/2/2018 18:39,41.56666667
8B,8,Sc xenic Monoculture ,Sc,NA,xenic,Lower_E1,Monoculture,Lower,E1,SPL33,41.56666667_xenic_Sc,30,6.247,20.52,26,7.955,30.081,5/2/2018 18:39,41.56666667
8C,8,Sc xenic Monoculture ,Sc,NA,xenic,Upper_A3,Monoculture,Upper,A3,SPL3,41.56666667_xenic_Sc,17,7.211,42.418,17,8.705,49.902,5/2/2018 17:34,41.56666667
11A,11,Cm axenic invaded with Mm axenic,Cm,Mm,axenic,Lower_B3,Biculture,Lower,B3,SPL11,58.38333333_axenic_Cm,148,17.555,11.844,153,19.389,12.654,43223.46432,58.38333333
11B,11,Cm axenic invaded with Mm axenic,Cm,Mm,axenic,Lower_A6,Biculture,Lower,A6,SPL6,58.38333333_axenic_Cm,88,16.31,18.441,99,21.851,22.121,43223.46432,58.38333333
11C,11,Cm axenic invaded with Mm axenic,Cm,Mm,axenic,Upper_C7,Biculture,Upper,C7,SPL23,58.38333333_axenic_Cm,196,11.826,6.03,201,26.524,13.174,5/3/2018 10:23,58.38333333
13A,13,Cm axenic invaded with Sc axenic,Cm,Sc,axenic,Lower_B2,Biculture,Lower,B2,SPL10,58.38333333_axenic_Cm,138,15.412,11.132,143,25.466,17.864,43223.46432,58.38333333
13B,13,Cm axenic invaded with Sc axenic,Cm,Sc,axenic,Upper_D8,Biculture,Upper,D8,SPL32,58.38333333_axenic_Cm,195,25.792,13.25,198,24.905,12.55,5/3/2018 10:23,58.38333333
13C,13,Cm axenic invaded with Sc axenic,Cm,Sc,axenic,Lower_B4,Biculture,Lower,B4,SPL12,58.38333333_axenic_Cm,150,12.41,8.292,153,7.053,4.61,43223.46432,58.38333333
1A,1,Cm axenic Monoculture ,Cm,NA,axenic,Upper_A1,Monoculture,Upper,A1,SPL1,58.38333333_axenic_Cm,176,55.107,31.311,184,63.437,34.414,5/3/2018 10:23,58.38333333
1C,1,Cm axenic Monoculture ,Cm,NA,axenic,Upper_B6,Monoculture,Upper,B6,SPL14,58.38333333_axenic_Cm,153,22.68,14.812,170,29.914,17.608,5/3/2018 10:23,58.38333333
9A,9,Cm axenic invaded with Sa axenic,Cm,Sa,axenic,Lower_D6,Biculture,Lower,D6,SPL30,58.38333333_axenic_Cm,259,27.884,10.78,262,41.14,15.682,43223.46432,58.38333333
9B,9,Cm axenic invaded with Sa axenic,Cm,Sa,axenic,Upper_B1,Biculture,Upper,B1,SPL9,58.38333333_axenic_Cm,154,42.453,27.627,169,58.494,34.521,5/3/2018 10:23,58.38333333
9C,9,Cm axenic invaded with Sa axenic,Cm,Sa,axenic,Lower_C5,Biculture,Lower,C5,SPL21,58.38333333_axenic_Cm,210,29.672,14.115,213,26.233,12.303,43223.46432,58.38333333
10A,10,Cm xenic invaded with Sa xenic,Cm,Sa,xenic,Lower_F8,Biculture,Lower,F8,SPL48,58.38333333_xenic_Cm,175,31.723,18.116,176,40.933,23.199,43223.46432,58.38333333
