"","Mean","SE","Day_Treatment","Day","Plate.ID","Reading.Date.Time","Mean.RFU..Chl.a70.460.685.","Std.Dev.RFU..Chl.a70.460.685.","CV.RFU..Chl.a70.460.685.","Mean.RFU..Chl.a100.460.685.","Std.Dev.RFU..Chl.a100.460.685.","CV.RFU..Chl.a100.460.685.","Treatment"
"80",514.333333333333,62.3600655690625,"10_23",10,"Day10-Plate3 Algae-Bacteria Growth Experiment","3/26/2018 13:10",568,210.677,37.113,545,194.788,35.756,"23"
"81",514.333333333333,62.3600655690625,"10_23",10,"Day10-Plate5 Algae-Bacteria Growth Experiment","3/26/2018 13:28",585,394.048,67.307,539,366.351,67.969,"23"
"82",441,53.507008886687,"10_24",10,"Day10-Plate1 Algae-Bacteria Growth Experiment","3/26/2018 12:44",524,241.238,46.047,464,221.131,47.692,"24"
"83",441,53.507008886687,"10_24",10,"Day10-Plate2 Algae-Bacteria Growth Experiment","3/26/2018 13:00",341,146.612,42.967,319,125.54,39.341,"24"
"84",441,53.507008886687,"10_24",10,"Day10-Plate4 Algae-Bacteria Growth Experiment","3/26/2018 13:19",458,258.728,56.45,397,216.719,54.589,"24"
"85",510.666666666667,40.9932243723819,"10_8",10,"Day10-Plate1 Algae-Bacteria Growth Experiment","3/26/2018 12:44",570,222.467,39.014,468,176.199,37.658,"8"
"86",510.666666666667,40.9932243723819,"10_8",10,"Day10-Plate3 Algae-Bacteria Growth Experiment","3/26/2018 13:10",530,201.716,38.068,527,191.651,36.336,"8"
"87",510.666666666667,40.9932243723819,"10_8",10,"Day10-Plate4 Algae-Bacteria Growth Experiment","3/26/2018 13:19",432,238.897,55.343,420,231.666,55.159,"8"
"88",541.25,39.6996536508821,"11_10",11,"Day11-Plate1 Algae-Bacteria Growth Experiment","3/27/2018 14:11",606,255.453,42.162,502,223.773,44.576,"10"
"89",541.25,39.6996536508821,"11_10",11,"Day11-Plate3 Algae-Bacteria Growth Experiment","3/27/2018 14:31",501,347.302,69.276,494,330.548,66.913,"10"
"90",541.25,39.6996536508821,"11_10",11,"Day11-Plate4 Algae-Bacteria Growth Experiment","3/27/2018 14:45",449,218.813,48.685,462,222.521,48.165,"10"
